"","SEASON","HOME_TEAM_NAME","VISITOR_TEAM_NAME","raptor_offense_LF1","raptor_defense_LF1","raptor_offense_LF2","raptor_defense_LF2","raptor_offense_LC","raptor_defense_LC","raptor_offense_LG1","raptor_defense_LG1","raptor_offense_LG2","raptor_defense_LG2","raptor_offense_VF1","raptor_defense_VF1","raptor_offense_VF2","raptor_defense_VF2","raptor_offense_VC","raptor_defense_VC","raptor_offense_VG1","raptor_defense_VG1","raptor_offense_VG2","raptor_defense_VG2","RESULT_HOME"
"17",2014,"Miami Heat","Cleveland Cavaliers",0.289138911,0.599843084,-2.755995091,-3.723377795,0.120114228,0.846021198,1.070551289,-0.654134306,-1.763627619,-0.602971486,6.04747012,-0.86615335,5.681616554,0.884102594,0.489470779,3.59090183,-0.466860469,-0.835245421,0.94074832,0.570562556,-3
"18",2014,"Memphis Grizzlies","Atlanta Hawks",-3.102095507,1.210314099,0.831483465,-0.874211343,-1.02674156,3.001670905,-2.217618798,-4.76381563,3.167861962,0.195684697,0.426120278,3.140098269,0.715569752,2.086226968,-6.327241347,-5.090540789,0.418624215,-0.549749921,2.009938323,-0.612164631,5
"19",2014,"Washington Wizards","Detroit Pistons",0.036766784,1.75604137,-2.518733536,3.443519601,-0.338954994,2.647095531,-5.628627372,4.884130034,1.674780499,-0.085825503,-1.662759883,-2.351495855,0.332133196,-0.289684223,1.321477285,0.220975065,-0.90089335,0.225947518,2.166317283,-2.844858618,2
"20",2014,"Portland Trail Blazers","Los Angeles Clippers",1.834131854,0.306724733,1.433515593,2.326357965,0.756171459,1.351818384,2.344141514,-0.114161638,-1.621334222,-1.249291127,-3.07758748,0.181623313,2.997118469,0.382859115,0.569078792,1.089656423,2.678922924,1.182554814,7.723907354,3.6684386,5
"21",2014,"Dallas Mavericks","Indiana Pacers",2.50789164,-0.790384284,3.93169125,0.261370689,-1.333933587,1.065376904,-0.322153279,-1.635362693,1.217001147,-3.659778129,2.30725401,-0.13945315,0.92305863,1.434246,-2.71047982,-0.31668423,3.077641927,-4.705837894,-3.90454956,-2.721777653,8
"22",2014,"Los Angeles Lakers","Golden State Warriors",-2.198744951,-1.187026096,-4.335476485,-1.611880448,-0.519939576,-0.289044391,-4.209408901,-2.070975619,-2.258944097,-1.942738903,-3.202978166,-0.5754227,0.170442019,0.964439663,-1.350776044,4.412264549,1.861229194,0.670803571,7.758268647,0.522739763,-41
"23",2014,"New York Knicks","Toronto Raptors",-1.565257149,-0.216476793,4.174904921,-0.390214473,-1.902642295,2.436583568,1.861997189,-2.225803051,-0.361584538,1.048552417,-0.366654581,1.092796854,0.204674568,-0.01667794,-0.837450784,-0.475642848,1.86102878,-1.593099728,0.429884899,0.238802891,-5
"24",2014,"Oklahoma City Thunder","Memphis Grizzlies",-1.038458909,-0.171508369,-4.921175884,-4.593990139,-1.477307512,-0.300116319,-2.603527367,1.882327541,4.271803711,0.34173815,-2.217618798,-4.76381563,-0.109497164,0.260898918,-1.581077453,2.111071576,0.681619929,0.73618566,-0.517050129,-0.293054967,10
"25",2014,"Miami Heat","Atlanta Hawks",-2.273345468,0.901734937,0.289138911,0.599843084,0.120114228,0.846021198,1.070551289,-0.654134306,-1.763627619,-0.602971486,0.426120278,3.140098269,0.715569752,2.086226968,-1.526519103,2.43475599,0.418624215,-0.549749921,2.009938323,-0.612164631,-6
"26",2014,"Charlotte Hornets","Detroit Pistons",-2.401349415,4.06189003,0.838810225,-1.731715787,-0.626954433,1.88079903,0.388208982,-0.826638579,-0.748626928,-0.800304507,-1.887861948,0.782577263,0.332133196,-0.289684223,1.321477285,0.220975065,-0.866299085,-0.432678175,2.166317283,-2.844858618,-20
"27",2014,"Philadelphia 76ers","Boston Celtics",-0.422630599,-3.018584402,-3.383135113,0.72791799,-0.88658258,-0.174063179,-3.505226847,-3.701855119,-2.252530224,-1.533598699,-1.610741329,-2.19882663,0.474022613,1.05048305,-0.011111945,-1.190292347,-2.313129724,-2.013744272,-0.927011853,0.923869525,-20
"28",2014,"Golden State Warriors","Denver Nuggets",-0.755749944,4.954846467,-3.202978166,-0.5754227,-7.753612691,-4.222883388,7.758268647,0.522739763,1.861229194,0.670803571,0.469204157,0.047441323,1.235652641,-2.428060982,-1.289775867,1.104911369,1.22425804,-3.02318616,3.176133665,-0.250194677,3
"29",2014,"Washington Wizards","Charlotte Hornets",0.036766784,1.75604137,-2.518733536,3.443519601,-0.338954994,2.647095531,-3.514850186,2.331676621,1.674780499,-0.085825503,-2.401349415,4.06189003,0.838810225,-1.731715787,-0.626954433,1.88079903,-0.561701044,-4.541140162,1.459454203,2.285756774,-10
"30",2014,"Oklahoma City Thunder","Toronto Raptors",1.319240593,-0.927710865,-0.071601453,2.590832707,-1.477307512,-0.300116319,-2.603527367,1.882327541,4.271803711,0.34173815,0.204674568,-0.01667794,-0.366654581,1.092796854,-0.769648113,-0.199858967,1.86102878,-1.593099728,4.335342181,1.242195459,-19
"31",2014,"Miami Heat","Golden State Warriors",0.289138911,0.599843084,-1.089584848,1.162239013,0.120114228,0.846021198,1.070551289,-0.654134306,-1.763627619,-0.602971486,0.946127768,2.312918366,0.170442019,0.964439663,-1.350776044,4.412264549,1.861229194,0.670803571,7.758268647,0.522739763,7
"32",2014,"Cleveland Cavaliers","Dallas Mavericks",6.04747012,-0.86615335,-0.661250552,-2.841018955,0.489470779,3.59090183,-0.466860469,-0.835245421,2.310301965,-1.159876222,2.50789164,-0.790384284,3.93169125,0.261370689,-1.333933587,1.065376904,0.821124289,-0.857440332,1.217001147,-3.659778129,-6
"33",2014,"Atlanta Hawks","Detroit Pistons",0.715569752,2.086226968,0.426120278,3.140098269,-1.526519103,2.43475599,2.009938323,-0.612164631,0.418624215,-0.549749921,-0.866299085,-0.432678175,-1.887861948,0.782577263,1.321477285,0.220975065,-0.010128283,-0.338462603,2.166317283,-2.844858618,-4
"34",2014,"Oklahoma City Thunder","Minnesota Timberwolves",1.319240593,-0.927710865,-0.071601453,2.590832707,-1.477307512,-0.300116319,-2.603527367,1.882327541,4.271803711,0.34173815,0.274498658,0.701841833,-0.829281068,-1.196209176,-1.599971395,3.159173578,0.676974352,-2.069662242,-0.8623582,-1.664899257,-18
"35",2014,"Chicago Bulls","Charlotte Hornets",0.433375772,-0.087317112,-1.655132645,-0.785460636,1.184290947,4.533858448,0.429183085,2.919966511,-3.36687933,-0.879809828,-2.401349415,4.06189003,0.838810225,-1.731715787,-0.626954433,1.88079903,0.388208982,-0.826638579,1.459454203,2.285756774,5
"36",2014,"Houston Rockets","Golden State Warriors",1.213292893,0.933668442,0.845437971,-1.585134337,-0.270564923,2.231949217,6.483479148,-0.090144979,1.754341084,1.719755991,-3.202978166,-0.5754227,0.170442019,0.964439663,-1.350776044,4.412264549,0.946127768,2.312918366,-8.250371367,-3.612028996,7
"37",2014,"Washington Wizards","New Orleans Pelicans",-4.274234445,-1.669833205,-2.518733536,3.443519601,-0.338954994,2.647095531,0.954625473,-1.01645395,-3.514850186,2.331676621,1.242720397,-0.816477862,1.210109966,2.284343543,-2.292207546,1.95978577,2.242770468,-0.065766062,0.570065902,-3.899233568,-4
"38",2014,"Cleveland Cavaliers","Chicago Bulls",6.04747012,-0.86615335,5.681616554,0.884102594,0.489470779,3.59090183,-0.466860469,-0.835245421,2.310301965,-1.159876222,0.433375772,-0.087317112,-1.655132645,-0.785460636,1.184290947,4.533858448,-1.633888003,2.049773382,-3.36687933,-0.879809828,9
"39",2014,"Atlanta Hawks","Charlotte Hornets",0.715569752,2.086226968,0.426120278,3.140098269,-1.526519103,2.43475599,2.009938323,-0.612164631,0.418624215,-0.549749921,-2.401349415,4.06189003,-1.496336091,-0.477737672,-3.519869307,1.212327557,-0.561701044,-4.541140162,1.459454203,2.285756774,3
